step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
62000,0.09279503043842591,0.0005394068430177867,-5.25,-5.265971149711666,-1.0511512756347656,-1.0503451824188232,-1.0556023120880127,-1.056731104850769,-1.052478313446045,-0.7581102252006531,-1.5770118236541748
63000,0.0907078921754344,0.0007640805561095476,-5.25,-5.253380712893242,-1.0791456699371338,-1.1255639791488647,-1.062220573425293,-1.0608302354812622,-1.0557126998901367,-0.7725875973701477,-1.366102695465088
64000,0.08872254484667559,0.002411159686744213,-7.25,-5.726896912561668,-1.3120524883270264,-1.4181907176971436,-1.2865325212478638,-1.3668421506881714,-1.4764819145202637,-0.7047339081764221,-1.2724403142929077
65000,0.08683402404970632,0.0028309784829616547,-5.25,-5.344449938427635,-1.0822868347167969,-1.0828914642333984,-1.0643116235733032,-1.0681564807891846,-1.0587444305419922,-0.8020254969596863,-1.4206620454788208
66000,0.08503760749884759,0.003354569897055626,-5.25,-5.292280534239128,-1.093318223953247,-1.0649875402450562,-1.079586148262024,-1.1182570457458496,-1.0559594631195068,-0.7875914573669434,-1.3749960660934448
67000,0.0833288032170107,0.002059723949059844,-5.25,-5.423790199400732,-1.070391058921814,-1.0549800395965576,-1.0655553340911865,-1.1282236576080322,-1.045342206954956,-0.7666448950767517,-1.4575247764587402
68000,0.08170333830341461,0.0028177371714264154,-5.25,-5.267164592143338,-1.1819849014282227,-1.233483910560608,-1.2130728960037231,-1.1707239151000977,-1.2143787145614624,-0.8713440895080566,-1.3764598369598389
69000,0.08015714824910855,0.0023153985384851694,-5.25,-5.264859833639471,-1.0732686519622803,-1.0771223306655884,-1.074285864830017,-1.0688501596450806,-1.0670417547225952,-0.7761151194572449,-1.3493320941925049
70000,0.07868636677358223,0.0029258127324283123,-5.25,-5.250535440403878,-1.0748276710510254,-1.082515001296997,-1.0745809078216553,-1.0464423894882202,-1.0768659114837646,-0.7106691598892212,-2.1008503437042236
71000,0.07728731615705103,0.0012648047413676977,-5.25,-5.251158685022585,-1.0519816875457764,-1.0519464015960693,-1.0562794208526611,-1.056645393371582,-1.0486682653427124,-0.7829353213310242,-1.5110925436019897
72000,0.07595649804424069,0.0012688222341239452,-5.25,-5.288782278277694,-1.0500859022140503,-1.0583170652389526,-1.089949369430542,-1.0581917762756348,-1.0473483800888062,-0.7596433758735657,-1.6307346820831299
