step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
62000,0.09279503043842591,0.0029887519776821136,-5.25,-5.40081244736813,-1.0937526226043701,-1.0606201887130737,-1.1465327739715576,-1.1365931034088135,-1.0639317035675049,-0.8270343542098999,-0.9123839139938354
63000,0.0907078921754344,0.0031457021832466125,-5.25,-5.320584450647765,-1.0749622583389282,-1.1769863367080688,-1.0610580444335938,-1.0648272037506104,-1.0592944622039795,-0.8435643315315247,-0.9467199444770813
64000,0.08872254484667559,0.003975924104452133,-5.25,-5.293760621958869,-1.067481517791748,-1.0488488674163818,-1.0622602701187134,-1.0535022020339966,-1.0514719486236572,-0.8477070927619934,-0.9422890543937683
65000,0.08683402404970632,0.002924972679466009,-5.25,-5.259681639047519,-1.0625479221343994,-1.0525251626968384,-1.056255578994751,-1.0654714107513428,-1.0507595539093018,-0.8513422012329102,-0.9502671360969543
66000,0.08503760749884759,0.002463413868099451,-5.25,-5.310829182528502,-1.0596270561218262,-1.0480841398239136,-1.107419490814209,-1.1299190521240234,-1.0550520420074463,-0.8085700273513794,-0.8930347561836243
67000,0.0833288032170107,0.0011382472002878785,-5.25,-5.251311971248755,-1.035601258277893,-1.0639359951019287,-1.110833764076233,-1.1882559061050415,-1.0469833612442017,-0.7633969187736511,-0.8495891690254211
68000,0.08170333830341461,0.001128526171669364,-5.25,-5.284074002206333,-1.080374002456665,-1.0824739933013916,-1.0775312185287476,-1.0803935527801514,-1.0714900493621826,-0.8644348382949829,-0.978554368019104
69000,0.08015714824910855,0.0012149742105975747,-5.25,-5.251341376782868,-1.0624617338180542,-1.0584834814071655,-1.0703526735305786,-1.0639164447784424,-1.055933952331543,-0.8508341908454895,-0.9503601789474487
70000,0.07868636677358223,0.001032116124406457,-5.25,-5.274930765335591,-1.0956376791000366,-1.1171613931655884,-1.0701020956039429,-1.0949991941452026,-1.0500614643096924,-0.8409160375595093,-0.9365871548652649
71000,0.07728731615705103,0.0005768454866483808,-5.25,-5.269962520020346,-1.0613571405410767,-1.0529463291168213,-1.0544354915618896,-1.0657209157943726,-1.0513428449630737,-0.8402165174484253,-0.955646812915802
72000,0.07595649804424069,0.0031765876337885857,-5.25,-5.319864164683681,-1.1341511011123657,-1.1239631175994873,-1.0514719486236572,-1.1097772121429443,-1.058807134628296,-0.7793182134628296,-0.892425537109375
73000,0.07469058469667697,0.003249415662139654,-5.25,-5.339281606016267,-1.071091651916504,-1.1005775928497314,-1.085066318511963,-1.1348764896392822,-1.0681378841400146,-0.8132731318473816,-0.9248690605163574
74000,0.07348641067160618,0.002155517926439643,-5.25,-5.27785864356834,-1.1348295211791992,-1.0669479370117188,-1.0592548847198486,-1.0584971904754639,-1.0598299503326416,-0.813101589679718,-0.9194821119308472
75000,0.07234096490673939,0.002007929142564535,-5.25,-5.264677573376218,-1.0533472299575806,-1.060558557510376,-1.0592033863067627,-1.0565340518951416,-1.0516085624694824,-0.8280112147331238,-0.9430752992630005
76000,0.07125138319102835,0.001832223148085177,-5.25,-5.3421426134862875,-1.3277307748794556,-1.2743333578109741,-1.0733230113983154,-1.0498391389846802,-1.0520074367523193,-0.695726752281189,-0.7706562280654907
